City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,George,ZA,-33.963,22.4617,82.4,32,0,6.91,clear sky
308,Turayf,SA,31.6725,38.6637,87.8,20,0,4.61,clear sky
309,Tura,IN,25.5198,90.2201,70.12,64,59,5.68,broken clouds
310,Olinda,BR,-8.0089,-34.8553,75.2,83,75,11.5,light rain
311,Purpe,RU,64.4803,76.6897,-4.0,77,84,15.03,broken clouds
312,Constantine,DZ,36.365,6.6147,50.0,57,40,14.97,scattered clouds
313,Gat,IL,31.61,34.7642,84.0,46,2,9.33,clear sky
314,Tiarei,PF,-17.5333,-149.3333,75.2,83,20,7.43,few clouds
315,Jibuti,DJ,11.5,42.5,84.2,70,1,4.61,clear sky
316,Yulara,AU,-25.2406,130.9889,57.2,47,0,5.75,clear sky
317,Rottingdean,GB,50.8098,-0.0594,54.0,71,0,11.5,clear sky
318,Pringsewu,ID,-5.3582,104.9744,73.18,96,100,3.69,overcast clouds
319,Bodden Town,KY,19.2833,-81.25,86.0,79,20,14.97,few clouds
320,Drama,GR,41.1544,24.1394,62.01,76,20,5.75,few clouds
321,Mildura,AU,-34.2,142.15,50.0,71,40,7.67,scattered clouds
322,Upernavik,GL,72.7868,-56.1549,11.59,73,100,2.28,overcast clouds
323,Cairns,AU,-16.9167,145.7667,75.2,94,90,10.36,light rain
324,Voh,NC,-20.9667,164.7,71.28,89,34,4.59,scattered clouds
325,Ostrovnoy,RU,68.0531,39.5131,34.81,83,78,16.15,broken clouds
326,Verkhoturye,RU,58.8627,60.8054,26.73,53,42,4.18,scattered clouds
327,Moranbah,AU,-22.0016,148.0466,65.03,88,0,9.19,clear sky
328,Adamas,GR,36.7333,24.4333,64.4,77,100,10.36,overcast clouds
329,Yerbogachen,RU,61.2767,108.0108,10.4,92,92,3.6,overcast clouds
330,Deputatskiy,RU,69.3,139.9,-2.07,95,100,7.07,overcast clouds
331,Sault Sainte Marie,CA,46.5168,-84.3333,51.8,30,1,8.05,clear sky
332,Rongcheng,CN,30.634,117.8517,54.91,73,100,1.99,overcast clouds
333,Tommot,RU,58.9564,126.2925,19.08,94,100,7.94,snow
334,Peniche,PT,39.3558,-9.3811,66.0,75,97,8.01,overcast clouds
335,Marataizes,BR,-21.0433,-40.8244,81.68,63,12,9.73,few clouds
336,Port Lincoln,AU,-34.7333,135.8667,58.42,79,25,7.49,scattered clouds
337,Cidreira,BR,-30.1811,-50.2056,73.89,74,14,11.43,few clouds
338,Russkaya Polyana,UA,49.417,31.9201,47.16,82,100,3.83,overcast clouds
339,Penzance,GB,50.1186,-5.5371,52.0,66,75,11.5,broken clouds
340,Valparaiso,CL,-33.0393,-71.6273,59.0,100,90,4.61,overcast clouds
341,Muli,MV,2.9167,73.5667,84.11,61,74,9.04,broken clouds
342,Bilibino,RU,68.0546,166.4372,15.4,88,73,2.84,broken clouds
343,Sinnamary,GF,5.3833,-52.95,82.51,66,91,10.98,overcast clouds
344,Gizo,SB,-8.103,156.8419,82.9,70,84,0.54,light rain
345,Inirida,CO,3.8653,-67.9239,83.16,79,100,1.72,overcast clouds
346,Bestobe,KZ,52.4994,73.0975,34.43,62,82,22.95,broken clouds
