City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
564,Charleston,US,77.0,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
566,Sibolga,ID,76.6,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
569,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
573,Candido De Abreu,BR,79.68,scattered clouds,-24.5669,-51.3333,Hotel Recanto
574,Mlonggo,ID,77.23,broken clouds,-6.5333,110.7,Asia Metal Art
575,Vinh,VN,75.94,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
577,Manbij,SY,77.0,broken clouds,36.5281,37.9549,Manbej City Hotel
578,Saint-Pierre,RE,77.0,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
581,Mogadishu,SO,83.55,overcast clouds,2.0371,45.3438,Hotel Juba
590,Rocha,UY,75.74,clear sky,-34.4833,-54.3333,Beleza Pura B&B
593,Buchanan,LR,89.6,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
595,Kourou,GF,82.4,broken clouds,5.1552,-52.6478,Lodge Takini 4
601,Iracoubo,GF,82.8,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
602,Lalmohan,BD,81.32,few clouds,22.3384,90.7419,Sundorbon courier service
604,Los Algarrobos,PA,87.8,few clouds,8.5,-82.4333,Waterfall Hostel
605,Micheweni,TZ,75.31,heavy intensity rain,-4.9667,39.8333,
609,Grand-Santi,GF,84.15,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
610,Hobyo,SO,83.61,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
615,Nha Trang,VN,78.8,few clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
616,Marsh Harbour,BS,79.79,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
623,Pitimbu,BR,78.8,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
626,Oranjestad,AW,86.0,broken clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
627,Boa Vista,BR,87.8,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
629,Domoni,KM,78.69,light rain,-12.2569,44.5319,Al Djadid
631,Port-Gentil,GA,86.0,few clouds,-0.7193,8.7815,Fengshui Residence
635,Isangel,VU,77.4,light rain,-19.55,169.2667,Volcano Sea View Tree House
637,Oistins,BB,86.0,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
638,Dharmadam,IN,77.83,overcast clouds,11.7833,75.4333,Samudra Homes
644,Corn Island,NI,81.3,overcast clouds,12.1694,-83.0418,Big Fish Guest House
645,Palu,ID,75.07,light rain,-0.8917,119.8707,Hotel Santika Palu
648,Touros,BR,86.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
653,La Macarena,CO,87.53,light rain,2.1837,-73.7849,Hotel Punto Verde
656,Tecoanapa,MX,82.96,clear sky,16.5167,-98.75,Hotel Manglares
657,Sao Joao Da Barra,BR,87.8,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
660,Weston,US,90.0,overcast clouds,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
661,Padang,ID,77.04,moderate rain,-0.9492,100.3543,Mercure Padang
667,La Mira,MX,82.81,clear sky,18.035,-102.3266,Cabaña San Francisco
669,Zwedru,LR,89.71,broken clouds,6.0667,-8.1281,Elijah Worjloh
682,Itupiranga,BR,76.32,overcast clouds,-5.1347,-49.3267,Hotel Panorama
685,Tucuman,AR,80.6,broken clouds,-26.8241,-65.2226,HOTEL MIAMI
688,Thinadhoo,MV,83.61,scattered clouds,0.5333,72.9333,
689,Sao Geraldo Do Araguaia,BR,82.49,light rain,-6.4006,-48.555,SOLAR DO BARROSO
692,Valera,VE,89.08,overcast clouds,9.3178,-70.6036,Hotel Camino Real
